ADD_ID,BLDG_ID,SUBBLDG_ID,REC_ID,BUILDINGNAME,STREETNUM,STREETNAME,STREETTYPE,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE,NEIGHBOURHOOD,ADDRESSTYPE,NUM_UNITS,ADDRESSNOTES,STATUS,LONG,LAT
AD-202,CHOI,,478,C. K. Choi Building for the Institute of Asian Research,1855,West,Mall,1855 West Mall,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25782825541458,49.26723874621751
AD-203,ALRD,,482,Allard Hall,1822,East,Mall,1822 East Mall,Vancouver,BC,V6T 1Z1,Academic,UBC,0,,Current,-123.25361001133689,49.26985285890194
AD-204,DLAM,,490,David Lam Management Research Centre,2033,Main,Mall,2033 Main Mall,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25407110463789,49.26568165386859
AD-205,DLAM,,490,David Lam Learning Centre,6326,Agricultural,Road,6326 Agricultural Road,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25461117198222,49.26577782201301
AD-206,LIUG,,496,Liu Institute for Global Issues,6476,NW Marine,Drive,6476 NW Marine Drive,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25927247706072,49.267602483106124
AD-208,SPPH,,513,School of Population & Public Health,2206,East,Mall,2206 East Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.24862483158027,49.26405390258688
AD-209,KOER,,515,Koerner Library,1958,Main,Mall,1958 Main Mall,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25498879263364,49.266704543207936
AD-211,MATH,,518,Mathematics Building,1984,Mathematics,Road,1984 Mathematics Road,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25541730926363,49.26650656109817
AD-212,MATX,,519,Mathematics Annex,1986,Mathematics,Road,1986 Mathematics Road,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25490703763597,49.26616378751166
AD-214,COPP,,523-1,D.H. Copp Building,2146,Health Sciences,Mall,2146 Health Sciences Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.24745496555656,49.265487891735226
AD-215,FRDM,,525-2,Friedman Building,2177,Wesbrook,Mall,2177 Wesbrook Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.2459424583431,49.26557428011829
AD-216,MEDC,,523-3,Medical Sciences Block C,2176,Health Sciences,Mall,2176 Health Sciences Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.24757786778099,49.26499995384959
AD-217,PHRM,,527,Pharmaceutical Sciences Building,2405,Wesbrook,Mall,2405 Wesbrook Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.24277495847262,49.26258419086455
AD-218,PARR,,528,Rose Garden Parkade,6278,NW Marine,Drive,6278 NW Marine Drive,Vancouver,BC,V6T 1Z1,Academic,UBC,0,,Current,-123.2564244501538,49.26960821028767
AD-219,LSC,,529,Life Sciences Centre,2350,Health Sciences,Mall,2350 Health Sciences Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.2460288241259,49.26239842813232
AD-220,WLIB,,536,Woodward Library,2198,Health Sciences,Mall,2198 Health Sciences Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.24737497629258,49.2647871775619
AD-222,AMBS,,539,Ambulance Station,2333,Wesbrook,Mall,2333 Wesbrook Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.24355330697111,49.263264013282985
AD-1038,TOTM,,540-1,Totem Park Residence,2525,West,Mall,2525 West Mall,Vancouver,BC,V6T 1W9,Academic,Housing - Stude,1485,,Current,-123.2528299730274,49.25779912111427
AD-224,PART,,551,Thunderbird Parkade,6085,Thunderbird,Boulevard,6085 Thunderbird Boulevard,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.24343137217541,49.261143205081744
AD-225,FORW,,562,Frank Forward Building,6350,Stores,Road,6350 Stores Road,Vancouver,BC,V6T 1Z4,Academic,UBC,0,,Current,-123.25176071151321,49.261771798810756
AD-226,BART,,568,Morris and Helen Belkin Art Gallery,1825,Main,Mall,1825 Main Mall,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25628889749085,49.26824810446947
AD-227,GMGB,,569,Gerald McGavin Building,2386,East,Mall,2386 East Mall,Vancouver,BC,V6T 1Z3,Academic,Non-UBC,0,,Current,-123.24682597313908,49.26163511088655
AD-1036,MUSM,,570,Museum of Anthropology,6393,NW Marine,Drive,6393 NW Marine Drive,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25929777005611,49.269132614082515
AD-229,MUSC,,575,Music Building,6361,Memorial,Road,6361 Memorial Road,Vancouver,BC,V6T 1Z2,Academic,UBC,0,,Current,-123.25654335502551,49.26728225024153
AD-234,NRCI,,591,NRC Institute for Fuel Cell Innovation,4250,Wesbrook,Mall,4250 Wesbrook Mall,Vancouver,BC,V6T 1W5,Academic,Non-UBC,0,,Current,-123.23256017767127,49.245360646053925
AD-235,TAPS,,593-1,Tapestry Rental,3338,Wesbrook,Mall,3338 Wesbrook Mall,Vancouver,BC,V6S 0A6,Wesbrook Place,Residential,134,,Current,-123.23514830139055,49.25460995796557
AD-236,TAPS,,593-2,Tapestry - Retail,3378,Wesbrook,Mall,3378 Wesbrook Mall,Vancouver,BC,V6S 0A8,Wesbrook Place,Commercial,0,,Current,-123.23480832829266,49.254163034215054
AD-237,TAPS,,593-2,Tapestry at Wesbrook Village,3382,Wesbrook,Mall,3382 Wesbrook Mall,Vancouver,BC,V6S 0A7,Wesbrook Place,Residential,46,,Current,-123.23474463054768,49.25410926064083
AD-238,TECH,,606,Technology Enterprise Facility 3,6190,Agronomy,Road,6190 Agronomy Road,Vancouver,BC,V6T 1Z3,Academic,Non-UBC,0,,Current,-123.24624267912844,49.261431180853634
AD-239,MTIN,,612,MT Innovations,3800,Wesbrook,Mall,3800 Wesbrook Mall,Vancouver,BC,V6T 1W5,Academic,Non-UBC,0,,Current,-123.23106658592803,49.25010867039562
AD-240,MBOL,,614,Mary Bollert Hall,6253,NW Marine,Drive,6253 NW Marine Drive,Vancouver,BC,V6T 1Z1,Academic,UBC,0,,Current,-123.2562733424123,49.2705423460572
AD-241,CUNN,,625,George Cunningham Building,2146,East,Mall,2146 East Mall,Vancouver,BC,V6T 1Z3,Academic,UBC,0,,Current,-123.2490882839974,49.264778003260034
AD-244,STJN,,635,St. John Hospice,6389,Stadium,Road,6389 Stadium Road,Vancouver,BC,V6T 1Z4,Academic,UBC,0,,Current,-123.24722943145623,49.25531907118087
AD-245,SCWH,,638,South Campus Warehouse,6116,Nurseries,Road,6116 Nurseries Road,Vancouver,BC,V6T 1W5,Academic,UBC,0,,Current,-123.23216814704767,49.24634686064395
AD-246,UNSB,,641,University Services Building,2329,West,Mall,2329 West Mall,Vancouver,BC,V6T 1Z4,Academic,UBC,0,,Current,-123.25338732072821,49.26110227824745
AD-247,CACP,,643,Campus & Community Planning,2210,West,Mall,2210 West Mall,Vancouver,BC,V6T 1Z4,Academic,UBC,0,,Current,-123.25328561817538,49.262434795800445
AD-249,HENN,,652,Hennings Building,6224,Agricultural,Road,6224 Agricultural Road,Vancouver,BC,V6T 1Z1,Academic,UBC,0,,Current,-123.25235549829047,49.266647045981784
AD-250,LADH,,654,Abdul Ladha Science Student Centre,2055,East,Mall,2055 East Mall,Vancouver,BC,V6T 1Z1,Academic,UBC,0,,Current,-123.2512535925949,49.26606196290142
AD-251,HEBB,,656,Hebb Building,2045,East,Mall,2045 East Mall,Vancouver,BC,V6T 1Z1,Academic,UBC,0,,Current,-123.2518235908517,49.2661695505724
AD-252,TFS,,668,Totem Field Studios,2613,West,Mall,2613 West Mall,Vancouver,BC,V6T 1Z4,Academic,UBC,0,,Current,-123.24909335328061,49.256112551282705
AD-253,STOR,,669,Stores Road Annex,6368,Stores,Road,6368 Stores Road,Vancouver,BC,V6T 1Z4,Academic,UBC,0,,Current,-123.25240070934073,49.26173429026782
AD-254,TELS,,678,Telus Hub,5895,Berton,Avenue,5895 Berton Avenue,Vancouver,BC,V6T 1W5,Wesbrook Place,Non-UBC,0,,Current,-123.23548513432348,49.25518730439971
