ADD_ID,BLDG_ID,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,BUILDING_SHORTCODE,STATUS,ROT,ACCESSIBLE,POWER_DOOR,BL_CLASS,ENT_TYPE,LAT,LONG
AD-544,WSTR,Westchester,Westchester,,,,,Current,30,1,0,l3,,49.25688425018155,-123.24904655199074
AD-206,LIUG,Liu Institute for Global Issues,Liu Institute,,,,,Current,208.20000000000002,1,1,l2,,49.26762694770149,-123.25910311458875
AD-157,LSK,The Leonard S. Klinck Building,Klinck,,<Null>,,LSK,Current,298.1,1,0,l2,,49.26564367401477,-123.25521403914412
AD-48,GRAT,Granite Terrace,Granite Terrace,,,,,Current,208.20000000000002,1,0,l3,,49.25511780935342,-123.23644469361479
AD-165,FNLH,First Nations Longhouse,First Nations Longhouse,House of Learning,,,FNLH,Current,89.9,1,1,l1,,49.26552933721503,-123.25720436620577
AD-249,HENN,Hennings Building,Hennings,,,,HENN,Current,298.1,0,0,l2,,49.26665040611226,-123.25235860128817
AD-211,MATH,Mathematics Building,Math,,,,MATH,Current,208.20000000000002,0,0,l2,,49.266504158348866,-123.25541533263717
AD-251,HEBB,Hebb Building,Hebb,,,,HEBB,Current,298.1,1,0,l2,,49.2661695505724,-123.2518235908517
AD-252,TFS,Totem Field Studios,Totem Field Studios,,,,TFS,Current,28.2,1,0,l2,,49.256112551282705,-123.24909335328061
AD-235,TAPS,Tapestry at Wesbrook Village,Tapestry,Tapestry North,,,,Current,28.2,1,0,l3,,49.25460995796557,-123.23514830139055
AD-161,BEBC,Beaty Biodiversity Centre,Beaty,Beaty Biodiversity Museum,<Null>,,,Current,28.2,1,0,Attraction,,49.263449983852965,-123.2511161759892
AD-257,PAPC,Pulp and Paper Centre,Pulp and Paper,,,,,Current,208.20000000000002,1,0,l2,,49.261539570390376,-123.24730196070085
AD-85,PNCN,Ponderosa Commons North,Ponderosa Commons,Cedar/Oak House,<Null>,,,Current,118.10000000000001,1,0,l3,,49.264253597258225,-123.2560679539664
AD-259,RUGB,Rugby Pavilion,Rugby,,,,,Current,28.2,1,0,l2,,49.25858074049815,-123.24410642453824
AD-35,BINT,Binning Tower,Binning,,,,,Current,208.20000000000002,1,0,l3,,49.25550090047667,-123.23121767269059
AD-91,ACOM,Acadia Community Centre,Acadia Park Residence,,Acadia Community Centre,,,Current,208.20000000000002,1,0,l3,,49.262715466143526,-123.23729035447609
AD-277,WPRO,Wesbrook Professional Centre,Wesbrook Professional Centre,,,,,Current,28.2,1,0,l3,,49.254384829937486,-123.23641416744971
AD-149,AQUA,UBC Aquatic Centre,Aquatic Centre,Swimming Pool,,,,Current,28.2,1,1,Attraction,,49.2673311016929,-123.24885790249161
AD-295,THUN,Doug Mitchell Thunderbird Sports Centre,Doug Mitchell Centre,Thunderbird Sports Centre,,,,Current,208.20000000000002,1,1,Attraction,,49.260533849845395,-123.24133513363543
AD-1036,MUSM,Museum of Anthropology,MOA,,,MOA,MUSM,Current,158.98,1,1,Attraction,,49.269132614082515,-123.25929777005611
AD-317,GUNN,Chan Gunn Pavilion,Chan Gunn,,,,,Current,208.20000000000002,1,1,l2,,49.26080019068104,-123.24128279698171
AD-311,PINE,Pine House,Pine House,Wesbrook Lot 27,,,,Current,102.8,1,0,l3,,49.25123029139013,-123.23427636717285
AD-310,VIRT,Virtuoso,Virtuoso,Wesbrook Lot 23,,,,Current,295,1,0,l3,,49.25094824757159,-123.2342559832254
