ADD_ID,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,STATUS,ACCESSIBLE,PL_CLASS,PL_TYPE,LAT,LONG
,Varsity Field,,,,,Current,,field,field,49.25782795007952,-123.24038939841648
,Community Field,,,,,Current,,field,field,49.253216287067126,-123.23908125163787
,Ken Woods Field,,,,,Current,,field,field,49.25821207541027,-123.24326598629561
,Wolfson Field,,,,,Current,,field,field,49.25852496550049,-123.24230530044728
,Soccer Field,,,,,Current,,field,field,49.256572635789645,-123.24116849156378
,Harry Warren Field,,,,,Current,,field,field,49.25711540728686,-123.24244390663088
,Rasphal Dhillon Track & Field Oval,,,,,Current,,field,sports,49.25654424215614,-123.23848228422297
,Arthur Lord Field,,,,,Current,,field,field,49.25917423827901,-123.24037680766591
,Frank Buck Field,,,,,Current,,field,field,49.25887110311685,-123.24123856307565
,Baseball Field,,,,,Current,,field,sports,49.255693594436494,-123.24062830318707
,Chris Spencer Field,,,,,Current,,field,field,49.25814081982377,-123.23948645584102
,Wreck Beach,,,,,Current,,PSRP,beach,49.26227910819238,-123.26189256489089
,Cecil Green Park Squash Court,Squash Court,,,,Current,,NL,sports,49.27135705329804,-123.25706711233131
,Sauder Family Garden,,,,,Current,,NL,garden,49.264416946845955,-123.24498559489291
,David Sidoo Field,,,,,Current,,field,field,49.25449519253193,-123.24544959607451
,Whit Matthews Field,,,,,Current,,field,field,49.255214218191156,-123.24307158664504
,Harold Wright Field,,,,,Current,,field,field,49.25747585384256,-123.24149351082883
,Trolley Bus Loop,<Null>,,,,Current,,NL,transit,49.265888587011325,-123.24762000751471
,Community Shuttle,UBC Loop,<Null>,,,Current,,NL,transit,49.26905206115595,-123.24877451276569
,UBC Transit Exchange,Diesel Bus Loop,<Null>,,,Current,,NL,transit,49.26807599344485,-123.2476180730531
,UBC Skate Park,,,,,Current,,garden,sports,49.260806537325074,-123.24460945609205
,Martha Piper Plaza,,,,,Current,,garden,plaza,49.264795456891854,-123.25279538005425
,Flag Pole Plaza,,,,,Current,,garden,plaza,49.26888360704629,-123.25616637809694
,Taylor Learning Plaza,,,,,Current,,garden,plaza,49.25295515032461,-123.24678989823082
,Wyman Plaza,,,,,Current,,garden,plaza,49.267622788265776,-123.255102305828
,Norman MacKenzie Square,,,,,Current,,garden,plaza,49.254185236748555,-123.23532755761896
,Koerner Plaza,,,,,Current,,garden,plaza,49.266812122694745,-123.25463336944043
,Lee Square,Money and Raymond M.C. Lee Square,,,,Current,,garden,plaza,49.26557831852589,-123.25049032711317
,Roseline Sturdy Amphitheatre,,,,,Current,,garden,plaza,49.25451095756097,-123.24726020152514
,The Knoll,,,,,Current,,garden,garden,49.266480870924006,-123.25034974424692
,Yosef Wosk Reflecting Pool,,,,,Current,,garden,garden,49.2698650119856,-123.26029313742116
,Research Ponds,,,,,Current,,garden,garden,49.2475990385495,-123.23295464934972
,Patient Park,,,,,Current,,garden,garden,49.26374085137766,-123.24687580760721
,Davidson Arboretum,,,,,Current,,garden,garden,49.265196824573614,-123.25712315421549
,Greenheart TreeWalk,UBC Botanical Garden,,,,Current,,garden,garden,49.25013011778939,-123.24538144929912
,Rhododendron Wood,,,,,Current,,garden-l,wood,49.25667764543069,-123.24686185448044
,Totem Park,,,,,Current,,garden-l,wood,49.25950256176498,-123.25405946968748
,Totem Field,,,,,Current,,garden-l,field,49.2565376932669,-123.25013938213037
,UBC Botanical Garden,,,,,Current,,garden-l,garden,49.25361091141208,-123.24800700382411
,The Bosque,,,,,Current,,garden,wood,49.267229532046244,-123.25121610152536
,Fairview Grove,,,,,Current,,garden,wood,49.26290252701223,-123.25061895821872
,Pacific Spirit Regional Park,,,,PSRP,Current,,PSRP,other,49.25177706459872,-123.22546092553686
,Pacific Spirit Regional Park,,,,PSRP,Current,,PSRP,other,49.26535097791926,-123.26249928128945
,Tower Beach,,,,,Current,,PSRP,beach,49.27402993536118,-123.25643811631728
,University Endowment Lands,,,,UEL,Current,,UEL,other,49.2702692971771,-123.24522933812918
,Library Garden,,,,,Current,,garden-l,garden,49.26719055845442,-123.2536826001751
