POI_ID,ADD_ID,PLACENAME,PLACENAME2,ABBREVIATEDPLACENAME,BL_CLASS,SERVICE_TYPE,URL,LICENSE,MANAGE,STATUS,LEED,LONG,LAT
POI-225,AD-135,Red Burrito,,,,cafe,http://www.redburrito.ca/,N,UEL,UEL,Services,-123.24321,49.2657125
POI-226,AD-135,Pearl Fever Tea House ,,,,cafe,http://www.pearlfever.ca/,N,UEL,UEL,Services,-123.24317,49.2658699
POI-227,AD-135,Starbucks,,,,cafe,http://www.food.ubc.ca/place/starbucks/,N,UEL,UEL,Services,-123.24274,49.2658502
POI-330,AD-203,Law Cafe,,,,cafe,http://www.food.ubc.ca/place/law-cafe/,N,SHHS,Current,Services,-123.25365,49.2699518
POI-331,AD-220,IRC Snack Bar,,,,cafe,http://www.food.ubc.ca/place/irc-snackbar/,N,SHHS,Current,Services,-123.24731,49.2646661
POI-332,AD-210,Ike's Cafe,Ike's,,,cafe,http://www.food.ubc.ca/place/ikes/,N,SHHS,Current,Services,-123.25276,49.2672017
POI-333,AD-82,Great Dane Coffee,,,,cafe,http://www.greatdanecoffee.com/,Y,Non-UBC,Current,Services,-123.25073,49.2700784
POI-334,AD-217,Daily Dose Cafe,,,,cafe,http://www.food.ubc.ca/place/daily-dose/,N,SHHS,Current,Services,-123.24304,49.2624998
POI-335,AD-197,Corner Cafe,,,,cafe,,N,Non-UBC,Current,Services,-123.24610,49.2646477
POI-336,AD-219,Caffe Perugia,,,,cafe,http://www.food.ubc.ca/place/caffe-perugia,N,SHHS,Current,Services,-123.24482,49.2622520
POI-337,AD-228,Cafe MOA,MOA Cafe,,,cafe,http://www.food.ubc.ca/place/cafe-MOA/,N,SHHS,Current,Services,-123.25917,49.2694148
POI-338,AD-326,Boulevard Coffee,,,,cafe,http://www.theboulevard.ca/contact.html,Y,Non-UBC,Current,Services,-123.24641,49.2660105
POI-339,AD-53,Blenz,,,,cafe,http://blenz.com/,Y,Non-UBC,Current,Services,-123.23508,49.2540269
POI-340,AD-43,Bean Around The World,,,,cafe,http://batw.ca/,Y,Non-UBC,Current,Services,-123.24804,49.2588539
POI-228,AD-816,Pita Pit,,,,cafe,http://pitapit.ca/,N,UEL,UEL,Services,-123.24212,49.2660902
POI-229,AD-323,International Food Court,,,,cafe,,N,UEL,UEL,Services,-123.24280,49.2666328
POI-230,AD-323,Pizza Garden,,,,cafe,http://www.pizzagarden.ca/,N,UEL,UEL,Services,-123.24349,49.2664647
POI-231,AD-323,A&W,,,,cafe,http://www.aw.ca/,N,UEL,UEL,Services,-123.24343,49.2664700
POI-232,AD-323,Blenz,,,,cafe,http://blenz.com/,N,UEL,UEL,Services,-123.24357,49.2664558
POI-233,AD-135,Vera's Burger Shack,,,,cafe,http://www.verasburgershack.com/,N,UEL,UEL,Services,-123.24327,49.2657986
POI-234,AD-135,Oven Fresh Bakery,,,,cafe,,N,UEL,UEL,Services,-123.24346,49.2660373
POI-235,AD-135,Maurya Express,,,,cafe,https://mauryaexpress.ca/,N,UEL,UEL,Services,-123.24344,49.2660097
POI-244,AD-358,Running Room,,,,retail,http://www.runningroom.com/hm/inside.php?id=4442,Y,Non-UBC,Current,Retail,-123.23541,49.2549525
POI-245,AD-324,Shoppers Drug Mart,,,,pharmacy,www.shoppersdrugmart.ca/,Y,Non-UBC,Current,Retail,-123.24581,49.2661084
POI-246,AD-285,Royal Canadian Mounted Police,RCMP,,,campus_services,http://university.bc.rcmp-grc.gc.ca/,N,Non-UBC,Current,Civic,-123.23854,49.2590202
POI-247,AD-286,University Fire Hall #10,Fire,,,campus_services,http://www.vanffcpr.org/location/location.php?id=10,N,Non-UBC,Current,Civic,-123.23824,49.2586997
POI-248,AD-336,Togo Sushi,,,,cafe,http://www.togosushi.ca/ubc.html,Y,Non-UBC,Current,Services,-123.23537,49.2539875
POI-250,AD-175,Agora Cafe,,,,cafe,http://blogs.ubc.ca/agora/,N,UBC,Current,Services,-123.25112,49.2609146
POI-254,AD-273,Merit Travel,,,,commercial_services,http://merittravel.ca,N,Non-UBC,Current,Services,-123.24968,49.2666088
POI-255,AD-273,i Campus Vision,,,,retail,https://www.campusvision.com/,N,Non-UBC,Current,Retail,-123.24982,49.2666113
POI-256,AD-273,On the Fringe,,,,commercial_services,http://www.onthefringehairdesign.com/,N,Non-UBC,Current,Services,-123.24965,49.2665684
POI-257,AD-273,Blooming Gift Shop,,,,retail,,N,Non-UBC,Current,Retail,-123.25003,49.2666639
POI-258,AD-273,Wireless Wave,,,,retail,http://www.wirelesswave.ca,N,Non-UBC,Current,Retail,-123.24991,49.2669874
POI-259,AD-353,More Bikes,,,,retail,http://www.morebikes.ca/,Y,Non-UBC,Current,Retail,-123.23587,49.2544657
POI-260,AD-339,Mozart School of Music,,,,commercial_services,http://www.msmvan.com/,Y,Non-UBC,Current,Services,-123.23525,49.2537127
POI-263,AD-450,UBC Tennis Centre,,,,athletics,http://www.recreation.ubc.ca/tennis/,N,Athletics,Current,Services,-123.24493,49.2597540
POI-264,AD-268,Birdcoop Fitness Center,,,,athletics,http://www.recreation.ubc.ca/fitness/,N,Athletics,Current,Services,-123.24878,49.2683593
POI-265,AD-43,Old Barn Community Centre Exercise Room,,,,athletics,https://wearecommunityvan.ca/,N,UNA,Current,Services,-123.24839,49.2590135
POI-27,AD-137,Nobel Biocare Oral Health Centre,Nobel Biocare,,l2,commercial_services,http://www.dentistry.ubc.ca/the-nobel-biocare-oral-health-centre/,N,UBC,Current,Services,-123.24555,49.2658938
POI-42,AD-135,Dental Speciality Clinics,,,,campus_services,,N,UBC,Current,Civic,-123.24546,49.2656067
POI-46,AD-197,UBC Hospital,UBC Hospital,,attraction,hospital,http://www.vch.ca/Locations-Services/result?res_id=652,N,VCH,Current,Civic,-123.24602,49.2641837
POI-48,AD-197,Student Health Services,,,,campus_services,https://students.ubc.ca/health-wellness/student-health-service,N,UBC,Current,Services,-123.24571,49.2639844
POI-91,AD-341,Careville Health Clinic,,,,medical,http://www.carevillehealth.com/,Y,Non-UBC,Current,Civic,-123.23567,49.2547756
POI-96,AD-360,Wesbrook Village Dental Ctr,,,,commercial_services,http://www.wesbrookvillagedental.com/,Y,Non-UBC,Current,Services,-123.23529,49.2547603
POI-131,AD-198,Allan McGavin Sports Medicine Centre,,,,campus_services,http://sportsmedicine.med.ubc.ca/,Y,Non-UBC,Current,Services,-123.24442,49.2645006
POI-132,AD-136,Family Practice Teaching Unit/Clinic,,,,campus_services,http://clinic.familymed.ubc.ca/,Y,Non-UBC,Current,Services,-123.24634,49.2659080
POI-205,AD-135,Pacific Spirit Dental,,,,medical,http://www.pacificspiritdental.ca/,N,UEL,UEL,Civic,-123.24282,49.2659548
POI-207,AD-816,University VIllage Medical Clinic,,,,medical,,N,UEL,UEL,Civic,-123.24225,49.2663419
POI-239,AD-315,UBC Transit Exchange,Diesel Bus Loop,,transit,transit,,N,TransLink,Current,Civic,-123.24765,49.2680909
POI-240,AD-334,Trolley Bus Loop,UBC Loop,,transit,transit,,N,TransLink,Current,Civic,-123.24822,49.2657862
POI-266,,Community Shuttle,UBC Loop,,transit,transit,https://planning.ubc.ca/vancouver/transportation-planning/transportation-options/transit/ubc-community-shuttle-routes,N,TransLink,Current,Civic,-123.24877,49.2690520
POI-541,AD-158,The Eatery,,,,cafe,https://ubcengineers.ca/eatery/,,,,,-123.24921,49.2622277
POI-305,AD-258,Ponderosa Commons Residence Front Desk,Front Desk,,,housing_student,http://vancouver.housing.ubc.ca/residences/ponderosa-commons/,N,SHHS,Current,Anchor,-123.25545,49.2642301
POI-359,AD-210,Chapman Learning Commons,,,,campus_services,http://learningcommons.ubc.ca/,N,Library,Current,,-123.25292,49.2676270
POI-360,AD-209,Humanities & Social Sciences,,,,libraries,http://www.library.ubc.ca/koerner,N,Library,Current,Civic,-123.25513,49.2666545
POI-361,AD-209,Microforms & Journals ,,,,libraries,http://www.library.ubc.ca/koerner,N,Library,Current,Civic,-123.25513,49.2666545
POI-184,,Totem Park,,,garden-l,housing_student,,N,UBC,Current,,-123.25405,49.2595025
POI-31,AD-0,Brock Commons Residence Front Desk,Front Desk,,,housing_student,http://vancouver.housing.ubc.ca/residences/brock-commons/,N,SHHS,Future,Anchor,-123.25146,49.2695407
POI-88,AD-335,Xerox Canada,,,,commercial_services,http://www.xeroxprintservicesubc.ca/,Y,Non-UBC,Current,Services,-123.23615,49.2551060
POI-78,AD-5,Green College Front Desk,Front Desk,,,housing_student,http://www.greencollege.ubc.ca/,N,SHHS,Current,Anchor,-123.25640,49.2709220
POI-79,AD-24,Orchard Commons Residence Front Desk,Front Desk,,,housing_student,http://vancouver.housing.ubc.ca/residences/orchard-commons/,N,SHHS,Current,,-123.25093,49.2600719
POI-424,AD-19,Place Vanier Residence Front Desk,Front Desk,,,housing_student,http://vancouver.housing.ubc.ca/residences/place-vanier/,N,SHHS,Current,,-123.25839,49.2647468
POI-540,AD-277,UBC Properties Trust,UBC Properties Trust General Office,,,,,,,,,-123.23637,49.2545164
POI-186,AD-120,Greenheart TreeWalk,TreeWalk,,garden,garden,http://www.botanicalgarden.ubc.ca/canopy-walkway,N,UBC,Current,Civic,-123.24441,49.2496105
POI-505,AD-228,Museum of Anthropology,,MOA,,attractions,,,,,,-123.25936,49.2692350
POI-506,AD-238,Magnussen School,,,,school,,,,,,-123.24644,49.2612697
POI-509,AD-68,Allan McGavin Sports Medicine Clinic Physiotherapy,,,,medical,,,,,,-123.25383,49.2614447
POI-503,AD-222,BC Ambulance Service Station 262,BC Ambulance Service,,,campus_services,,,,,,-123.24355,49.2632738
